race_id,race_name,horse_no,gate_no,horse_name,jockey_name,rank_in_race,signal,印,mark,recommendation,ability_score,win_prob,top3_prob,win_ev,win_odds
20260425_KYOTO_08,あやめ賞 【狙い目A:本命】,1,1,アイガーリー,菱田,6,様子見,様子見,様子見,様子見,43.73640600649242,0.11868203003246212,0.1922208821355084,1.9463852925323786,16.4
20260425_KYOTO_09,4歳以上1勝クラス 【見送りC:大混戦】,9,5,セクシーマージュ,高杉,1,軸,軸,軸,軸,36.11925569513424,0.08059627847567122,0.3958508478901221,1.200884549287501,14.9
20260425_KYOTO_09,4歳以上1勝クラス 【見送りC:大混戦】,10,5,ダガーリング,菱田,2,対抗,対抗,対抗,対抗,35.46094501434148,0.07730472507170741,0.46239540945388485,1.2368756011473185,16.0
20260425_KYOTO_09,4歳以上1勝クラス 【見送りC:大混戦】,7,4,ベールノエル,西村淳,3,穴,穴,穴,穴,34.94381915255236,0.0747190957627618,0.4041861299690563,0.6724718618648562,9.0
20260425_KYOTO_09,4歳以上1勝クラス 【見送りC:大混戦】,4,2,サリュエ,団野,4,連下,連下,連下,連下,34.58767980750457,0.07293839903752285,0.39207082985313657,0.43763039422513705,6.0
20260425_KYOTO_09,4歳以上1勝クラス 【見送りC:大混戦】,16,8,ニシノイツキムスメ,秋山稔,5,連下,連下,連下,連下,34.055323254864625,0.07027661627432312,0.4139597282629618,2.4034602765818507,34.2
20260425_KYOTO_09,4歳以上1勝クラス 【見送りC:大混戦】,2,1,モンタルチーノ,吉村,6,様子見,様子見,様子見,様子見,33.94313283272923,0.06971566416364616,0.31916373300303263,0.5507537468928048,7.9
20260425_KYOTO_09,4歳以上1勝クラス 【見送りC:大混戦】,1,1,メイショウサチダケ,松山,7,様子見,様子見,様子見,様子見,33.19133012690516,0.0659566506345258,0.2811373431071521,0.3693572435533444,5.6
20260425_KYOTO_09,4歳以上1勝クラス 【見送りC:大混戦】,12,6,ヒットザグラウンド,古川吉,8,様子見,様子見,様子見,様子見,32.78548958723821,0.06392744793619105,0.2994038771584466,5.171730538037856,80.9
20260425_KYOTO_09,4歳以上1勝クラス 【見送りC:大混戦】,15,8,ウォーターエアリー,田口,9,様子見,様子見,様子見,様子見,32.70475159168806,0.06352375795844029,0.26531132427104037,1.7977223502238602,28.3
20260425_KYOTO_09,4歳以上1勝クラス 【見送りC:大混戦】,6,3,コルドンブルー,岩田望,10,様子見,様子見,様子見,様子見,32.304548753988655,0.061522743769943274,0.2537292394740717,0.17226368255584115,2.8
20260425_KYOTO_09,4歳以上1勝クラス 【見送りC:大混戦】,5,3,ラガークイン,原,11,様子見,様子見,様子見,様子見,31.84833903563404,0.059241695178170205,0.3230842250283796,1.6291466173996807,27.5
20260425_KYOTO_09,4歳以上1勝クラス 【見送りC:大混戦】,3,2,ルクスアドラー,鮫島駿,12,様子見,様子見,様子見,様子見,31.243537440944902,0.05621768720472451,0.1867783256289,7.786149677854345,138.5
20260425_KYOTO_09,4歳以上1勝クラス 【見送りC:大混戦】,13,7,イリスアスール,幸,13,様子見,様子見,様子見,様子見,30.60247199833858,0.053012359991692896,0.15218058711126364,2.926282271541448,55.2
20260425_KYOTO_09,4歳以上1勝クラス 【見送りC:大混戦】,8,4,スウィートリワード,浜中,14,様子見,様子見,様子見,様子見,29.48226183917353,0.04741130919586764,0.22314672764786347,2.010239509904788,42.4
20260425_KYOTO_09,4歳以上1勝クラス 【見送りC:大混戦】,11,6,シャインズオンユー,松若,15,様子見,様子見,様子見,様子見,29.11537731558557,0.045576886577927855,0.23402438852935215,5.8338414819747655,128.0
20260425_KYOTO_09,4歳以上1勝クラス 【見送りC:大混戦】,14,7,レインオンミー,△田山,16,様子見,様子見,様子見,様子見,27.61173655337678,0.0380586827668839,0.23866701527000136,4.901958340374647,128.8
20260425_KYOTO_10,観月橋S 【見送りC:大混戦】,1,1,デルアヴァー,西村淳,1,軸,軸,軸,軸,41.31245060860398,0.10656225304301989,0.3330467932930557,0.3836241109548716,3.6
