race_id,race_date,venue,race_no,race_name,win_rank,gate_no,horse_no,horse_name,jockey_name,signal,confidence_label,ability_score,win_prob,top2_prob,top3_prob
20260405_HANSHIN_09,2026-04-05,阪神,9,バイオレ,2.0,11,11,メイショウカクウチ,菱田裕二,複勝圏,B,56.58,0.1346,0.7615,0.7638
20260405_HANSHIN_09,2026-04-05,阪神,9,バイオレ,3.0,6,6,エコロレーヴ,団野大成,能力注,C,48.57,0.0973,0.5923,0.6235
20260405_HANSHIN_09,2026-04-05,阪神,9,バイオレ,4.0,12,12,サマーゲール,松山弘平,様子見,D,42.27,0.0968,0.5485,0.5584
20260405_HANSHIN_09,2026-04-05,阪神,9,バイオレ,5.0,4,4,テーオーグレーザー,高杉吏麒,様子見,D,42.6,0.0874,0.4997,0.5534
20260405_HANSHIN_09,2026-04-05,阪神,9,バイオレ,6.0,5,5,レッドスティンガー,ルメール,様子見,D,44.48,0.0791,0.491,0.561
20260405_HANSHIN_09,2026-04-05,阪神,9,バイオレ,7.0,3,3,ビービークローサー,坂井瑠星,様子見,D,41.25,0.0768,0.4792,0.4792
20260405_HANSHIN_09,2026-04-05,阪神,9,バイオレ,8.0,7,7,エブリーポッシブル,岩田望来,様子見,D,38.57,0.0753,0.4201,0.435
20260405_HANSHIN_09,2026-04-05,阪神,9,バイオレ,9.0,10,10,ハグレジョー,鮫島克駿,様子見,D,40.97,0.0639,0.4083,0.4942
20260405_HANSHIN_09,2026-04-05,阪神,9,バイオレ,10.0,9,9,ローズカリス,田口貫太,様子見,D,35.26,0.0518,0.2465,0.3027
20260405_HANSHIN_09,2026-04-05,阪神,9,バイオレ,11.0,8,8,ルクスレイモンド,武豊,様子見,D,35.06,0.0485,0.27,0.3028
20260405_HANSHIN_09,2026-04-05,阪神,9,バイオレ,12.0,1,1,ジャックナダル,西村淳也,様子見,D,33.51,0.0349,0.2626,0.3228
20260405_HANSHIN_10,2026-04-05,阪神,10,心斎橋Ｈ･3勝,1.0,2,2,スライビングロード,岩田望来,軸,S,62.08,0.1353,0.8062,0.8246
20260405_HANSHIN_10,2026-04-05,阪神,10,心斎橋Ｈ･3勝,2.0,6,6,ミトノオルフェ,ルメール,複勝圏,A,57.46,0.1278,0.7576,0.7576
20260405_HANSHIN_10,2026-04-05,阪神,10,心斎橋Ｈ･3勝,3.0,13,13,スカイハイ,吉村誠之,能力注,C,44.86,0.0962,0.6296,0.6296
20260405_HANSHIN_10,2026-04-05,阪神,10,心斎橋Ｈ･3勝,4.0,7,7,サクセスアイ,池添謙一,様子見,D,37.07,0.0723,0.4134,0.422
20260405_HANSHIN_10,2026-04-05,阪神,10,心斎橋Ｈ･3勝,5.0,15,15,メルトユアハート,松若風馬,様子見,D,34.86,0.0685,0.402,0.402
20260405_HANSHIN_10,2026-04-05,阪神,10,心斎橋Ｈ･3勝,6.0,8,8,エマヌエーレ,幸英明,様子見,D,40.81,0.0662,0.4221,0.5211
20260405_HANSHIN_10,2026-04-05,阪神,10,心斎橋Ｈ･3勝,7.0,1,1,エイムフォーエース,酒井学,様子見,D,39.22,0.0603,0.4908,0.4908
20260405_HANSHIN_10,2026-04-05,阪神,10,心斎橋Ｈ･3勝,8.0,18,18,ミルテンベルク,西村淳也,様子見,D,39.82,0.0599,0.4432,0.4989
